ssn,age,education,marital-status,relationship,sex,income
527-52-7527,39.0,Assoc-acdm,Separated,Not-in-family,,<=50K
264-26-4264,21.0,,,,,<=50K
900-90-0900,39.0,HS-grad,,Not-in-family,Male,<=50K
198-19-8198,29.0,,Separated,Not-in-family,,
557-55-7557,28.0,HS-grad,Separated,,Female,
748-74-8748,29.0,,Never-married,,,<=50K
135-13-5135,27.0,,Married-spouse-absent,Unmarried,Female,<=50K
133-13-3133,50.0,Some-college,Married-civ-spouse,Husband,Male,
495-49-5495,35.0,Some-college,,,Male,>50K
956-95-6956,,HS-grad,,Unmarried,Female,<=50K
256-25-6256,,Assoc-voc,Married-civ-spouse,,,<=50K
935-93-5935,33.0,Bachelors,Married-civ-spouse,Husband,,<=50K
830-83-0830,21.0,,Never-married,,,
377-37-7377,62.0,Some-college,Married-civ-spouse,Husband,,<=50K
336-33-6336,,,Never-married,Own-child,,<=50K
082-08-2082,47.0,Some-college,Married-civ-spouse,Husband,,<=50K
826-82-6826,56.0,10th,Married-civ-spouse,,Male,<=50K
476-47-6476,22.0,Some-college,,,Male,
402-40-2402,18.0,11th,Never-married,Own-child,Male,
048-04-8048,66.0,,Widowed,Not-in-family,Female,
071-07-1071,32.0,Some-college,,Husband,Male,
443-44-3443,,HS-grad,,Unmarried,,<=50K
859-85-9859,47.0,,Divorced,Not-in-family,,<=50K
463-46-3463,39.0,Some-college,Separated,Unmarried,Female,<=50K
698-69-8698,43.0,Masters,Married-civ-spouse,,,<=50K
799-79-9799,51.0,,Divorced,,,
917-91-7917,60.0,Some-college,Married-civ-spouse,,Male,
549-54-9549,57.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
817-81-7817,,Bachelors,Never-married,Not-in-family,,<=50K
046-04-6046,,Bachelors,Divorced,Unmarried,,>50K
069-06-9069,50.0,HS-grad,,Husband,,<=50K
409-40-9409,50.0,,Never-married,Other-relative,,>50K
879-87-9879,,10th,Married-civ-spouse,Husband,,<=50K
426-42-6426,41.0,11th,Married-civ-spouse,Husband,Male,<=50K
533-53-3533,72.0,Some-college,Married-civ-spouse,Husband,,<=50K
125-12-5125,25.0,Bachelors,Never-married,,Female,<=50K
246-24-6246,23.0,HS-grad,Married-civ-spouse,Husband,Male,
646-64-6646,64.0,HS-grad,Never-married,Not-in-family,,
525-52-5525,40.0,Some-college,Divorced,,Male,>50K
485-48-5485,36.0,9th,Divorced,Unmarried,,
539-53-9539,45.0,,,Husband,Male,>50K
358-35-8358,26.0,9th,Married-civ-spouse,Husband,Male,>50K
150-15-0150,36.0,HS-grad,Separated,Own-child,Male,>50K
909-90-9909,37.0,,Separated,Own-child,Female,
958-95-8958,48.0,,Married-civ-spouse,Husband,Male,
922-92-2922,23.0,,Never-married,,Male,
296-29-6296,23.0,Some-college,,Own-child,Female,
727-72-7727,47.0,HS-grad,Never-married,Own-child,Female,
017-01-7017,22.0,,,Own-child,Female,>50K
499-49-9499,35.0,HS-grad,Never-married,Unmarried,,<=50K
858-85-8858,33.0,Some-college,,Husband,,
092-09-2092,34.0,,Never-married,Not-in-family,,<=50K
665-66-5665,35.0,HS-grad,Married-civ-spouse,Husband,,<=50K
633-63-3633,34.0,Some-college,Married-civ-spouse,Husband,,
903-90-3903,18.0,HS-grad,,,,<=50K
740-74-0740,39.0,5th-6th,Married-civ-spouse,Wife,,<=50K
555-55-5555,18.0,,Never-married,Not-in-family,Male,<=50K
737-73-7737,36.0,Bachelors,Married-civ-spouse,Husband,,
352-35-2352,39.0,12th,Married-civ-spouse,Husband,,<=50K
554-55-4554,55.0,,Married-civ-spouse,Husband,Male,<=50K
827-82-7827,29.0,Some-college,Never-married,Not-in-family,,<=50K
765-76-5765,48.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
551-55-1551,53.0,HS-grad,Separated,Unmarried,Female,
124-12-4124,,HS-grad,Never-married,Not-in-family,Male,>50K
685-68-5685,59.0,,Married-civ-spouse,Husband,Male,<=50K
072-07-2072,63.0,Bachelors,Married-civ-spouse,Husband,Male,
342-34-2342,63.0,,Married-civ-spouse,Husband,,
894-89-4894,,Bachelors,,Unmarried,Female,<=50K
701-70-1701,66.0,Assoc-voc,,Not-in-family,Female,<=50K
947-94-7947,,,,Own-child,,>50K
910-91-0910,33.0,,Never-married,,,<=50K
197-19-7197,23.0,Some-college,Never-married,,Male,<=50K
841-84-1841,46.0,,,Husband,,>50K
431-43-1431,18.0,11th,,Unmarried,Female,<=50K
754-75-4754,36.0,HS-grad,,Husband,,<=50K
624-62-4624,40.0,Bachelors,Married-civ-spouse,Husband,,
673-67-3673,34.0,HS-grad,Married-civ-spouse,Wife,Female,
550-55-0550,37.0,1st-4th,Never-married,Not-in-family,Male,<=50K
751-75-1751,42.0,HS-grad,Divorced,Not-in-family,Female,>50K
470-47-0470,19.0,Some-college,Never-married,Own-child,,<=50K
331-33-1331,48.0,Bachelors,,,Male,<=50K
520-52-0520,22.0,Some-college,Never-married,Own-child,,<=50K
699-69-9699,67.0,Some-college,,,Male,
311-31-1311,29.0,,Married-AF-spouse,Husband,Male,<=50K
161-16-1161,34.0,10th,,,Female,
820-82-0820,32.0,,,Husband,,>50K
801-80-1801,,,Never-married,,,
195-19-5195,51.0,,Divorced,Unmarried,,
321-32-1321,40.0,9th,Married-civ-spouse,Husband,,>50K
162-16-2162,32.0,HS-grad,Never-married,,,<=50K
467-46-7467,19.0,HS-grad,Divorced,Unmarried,Female,<=50K
636-63-6636,,Some-college,Married-civ-spouse,Husband,Male,<=50K
061-06-1061,52.0,,Married-civ-spouse,Husband,Male,>50K
807-80-7807,26.0,Some-college,Never-married,Other-relative,Male,
963-96-3963,31.0,HS-grad,Married-civ-spouse,Husband,,
374-37-4374,46.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
129-12-9129,48.0,Some-college,Divorced,Not-in-family,,
571-57-1571,22.0,Assoc-acdm,Never-married,Not-in-family,Male,
211-21-1211,55.0,,Widowed,Not-in-family,Female,>50K
579-57-9579,46.0,,,Husband,Male,
899-89-9899,,,Divorced,Own-child,Male,>50K
453-45-3453,42.0,11th,Divorced,,,
573-57-3573,42.0,Bachelors,Married-civ-spouse,Husband,,>50K
989-98-9989,43.0,HS-grad,,Other-relative,,>50K
543-54-3543,,12th,Married-civ-spouse,Husband,Male,
588-58-8588,39.0,Prof-school,Divorced,Unmarried,,
269-26-9269,30.0,Some-college,Never-married,Not-in-family,Female,<=50K
340-34-0340,21.0,,,Own-child,Male,<=50K
620-62-0620,23.0,,Married-civ-spouse,Husband,Male,
219-21-9219,50.0,Masters,Married-civ-spouse,Husband,Male,>50K
170-17-0170,48.0,Bachelors,Separated,Not-in-family,,
578-57-8578,74.0,,Widowed,Not-in-family,Female,>50K
213-21-3213,18.0,11th,Never-married,,Female,<=50K
486-48-6486,62.0,HS-grad,Married-civ-spouse,Wife,Female,<=50K
155-15-5155,34.0,Bachelors,Married-civ-spouse,Wife,Female,
076-07-6076,64.0,HS-grad,,,Male,
273-27-3273,57.0,,Married-civ-spouse,Husband,Male,>50K
816-81-6816,19.0,HS-grad,Never-married,Own-child,,
349-34-9349,21.0,Some-college,Never-married,Own-child,Female,<=50K
528-52-8528,21.0,Some-college,,,Female,<=50K
375-37-5375,38.0,Some-college,,Husband,Male,
813-81-3813,35.0,9th,,Husband,Male,
015-01-5015,36.0,HS-grad,Married-civ-spouse,Husband,Male,
208-20-8208,,,Married-civ-spouse,Husband,Male,<=50K
925-92-5925,32.0,Assoc-voc,Married-civ-spouse,,Male,>50K
704-70-4704,50.0,,Divorced,Unmarried,,
706-70-6706,46.0,HS-grad,Married-civ-spouse,,,<=50K
884-88-4884,66.0,HS-grad,Married-civ-spouse,Husband,Male,
779-77-9779,17.0,HS-grad,,Own-child,Male,<=50K
172-17-2172,65.0,1st-4th,,Husband,,<=50K
369-36-9369,,Masters,Never-married,Not-in-family,,
717-71-7717,30.0,Bachelors,,,,
593-59-3593,42.0,,Separated,,,
110-11-0110,35.0,HS-grad,Never-married,Not-in-family,Male,
670-67-0670,80.0,,,,Male,<=50K
746-74-6746,,Some-college,Married-civ-spouse,Husband,Male,
513-51-3513,41.0,Bachelors,,,Female,<=50K
975-97-5975,19.0,Some-college,Never-married,,Male,<=50K
616-61-6616,37.0,Some-college,Divorced,,,
762-76-2762,31.0,Masters,Never-married,Own-child,Male,
488-48-8488,,Some-college,Never-married,,Male,>50K
390-39-0390,22.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
689-68-9689,28.0,HS-grad,Married-civ-spouse,,,
134-13-4134,21.0,Some-college,Never-married,Own-child,,<=50K
832-83-2832,49.0,Some-college,Married-civ-spouse,Husband,Male,>50K
054-05-4054,19.0,HS-grad,Never-married,Not-in-family,Female,
511-51-1511,39.0,HS-grad,Married-civ-spouse,Husband,,<=50K
738-73-8738,24.0,HS-grad,Never-married,,,
019-01-9019,50.0,Assoc-voc,Widowed,Not-in-family,Female,<=50K
457-45-7457,46.0,Masters,,Not-in-family,,<=50K
045-04-5045,34.0,Some-college,Never-married,Own-child,Female,<=50K
589-58-9589,34.0,,Never-married,Not-in-family,Female,
250-25-0250,34.0,HS-grad,,Husband,,<=50K
484-48-4484,34.0,12th,Married-civ-spouse,,,<=50K
882-88-2882,68.0,Doctorate,Married-civ-spouse,Husband,,<=50K
316-31-6316,30.0,Assoc-voc,Married-civ-spouse,Other-relative,Male,<=50K
487-48-7487,51.0,,Married-civ-spouse,Husband,,
410-41-0410,45.0,Some-college,Married-civ-spouse,Husband,Male,
580-58-0580,43.0,Assoc-voc,,,,>50K
429-42-9429,19.0,11th,,,Female,<=50K
697-69-7697,28.0,11th,Married-civ-spouse,,Male,<=50K
131-13-1131,21.0,,Never-married,,,
196-19-6196,40.0,9th,Married-civ-spouse,,,
265-26-5265,64.0,Masters,,Not-in-family,,>50K
724-72-4724,38.0,10th,,Husband,Male,
969-96-9969,26.0,7th-8th,Never-married,Not-in-family,,<=50K
757-75-7757,30.0,,Married-civ-spouse,Husband,Male,
118-11-8118,43.0,HS-grad,Married-civ-spouse,Husband,Male,
288-28-8288,50.0,,Married-civ-spouse,Husband,Male,<=50K
018-01-8018,46.0,,,Unmarried,Female,<=50K
290-29-0290,40.0,Prof-school,,Husband,Male,
721-72-1721,22.0,,,,,<=50K
466-46-6466,,,Married-civ-spouse,Husband,Male,
354-35-4354,37.0,HS-grad,,Husband,Male,
628-62-8628,33.0,,,Husband,Male,<=50K
064-06-4064,44.0,Some-college,Widowed,Unmarried,Female,
824-82-4824,47.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
674-67-4674,21.0,,Never-married,Not-in-family,,<=50K
930-93-0930,25.0,Bachelors,Never-married,Own-child,Female,
871-87-1871,41.0,11th,Married-civ-spouse,,Male,
295-29-5295,36.0,Bachelors,Never-married,Unmarried,,<=50K
492-49-2492,,HS-grad,Married-civ-spouse,Husband,,
471-47-1471,,HS-grad,Married-civ-spouse,Husband,,<=50K
382-38-2382,51.0,Bachelors,Married-civ-spouse,Husband,,<=50K
191-19-1191,44.0,11th,Married-civ-spouse,Husband,,<=50K
844-84-4844,44.0,,Married-civ-spouse,Husband,,
085-08-5085,,,Widowed,Not-in-family,,
301-30-1301,32.0,Some-college,,Unmarried,,
119-11-9119,46.0,HS-grad,Divorced,Unmarried,Female,<=50K
032-03-2032,73.0,Prof-school,Married-civ-spouse,Husband,,<=50K
175-17-5175,27.0,,,Not-in-family,,<=50K
063-06-3063,28.0,HS-grad,Married-civ-spouse,Husband,,
023-02-3023,22.0,Some-college,Never-married,,Male,
865-86-5865,30.0,HS-grad,Married-civ-spouse,Husband,,>50K
089-08-9089,45.0,Doctorate,,Unmarried,Male,>50K
206-20-6206,19.0,HS-grad,,,Male,<=50K
912-91-2912,,Bachelors,Married-civ-spouse,,Male,<=50K
034-03-4034,29.0,,Married-civ-spouse,Husband,,<=50K
843-84-3843,34.0,Some-college,Divorced,Not-in-family,Female,<=50K
116-11-6116,,,Never-married,Own-child,Female,<=50K
490-49-0490,57.0,7th-8th,Married-civ-spouse,Husband,Male,<=50K
995-99-5995,35.0,Assoc-voc,Divorced,Not-in-family,Female,
784-78-4784,41.0,,Married-civ-spouse,Husband,,<=50K
391-39-1391,62.0,HS-grad,Widowed,Not-in-family,,>50K
880-88-0880,53.0,,Married-civ-spouse,Husband,,
750-75-0750,34.0,,Married-civ-spouse,,,<=50K
287-28-7287,54.0,Some-college,,Husband,Male,<=50K
337-33-7337,17.0,HS-grad,,Other-relative,,
144-14-4144,38.0,Assoc-acdm,,Husband,Male,
883-88-3883,21.0,Some-college,Never-married,Own-child,Female,<=50K
062-06-2062,,Bachelors,Never-married,,Female,
132-13-2132,21.0,HS-grad,,Own-child,Female,
630-63-0630,48.0,,Married-civ-spouse,Husband,Male,<=50K
275-27-5275,44.0,Assoc-acdm,Divorced,Not-in-family,,<=50K
661-66-1661,48.0,Some-college,,Other-relative,,<=50K
293-29-3293,33.0,,Never-married,Own-child,,
908-90-8908,30.0,,Divorced,Unmarried,Female,
598-59-8598,30.0,,,Husband,Male,
759-75-9759,44.0,Bachelors,,Husband,Male,
073-07-3073,29.0,Some-college,Never-married,Not-in-family,Male,
407-40-7407,,,,,Female,<=50K
988-98-8988,43.0,Assoc-voc,Married-civ-spouse,Husband,Male,<=50K
454-45-4454,29.0,9th,Never-married,,Male,>50K
862-86-2862,34.0,,,Own-child,Female,
798-79-8798,44.0,Masters,Divorced,Not-in-family,Female,<=50K
778-77-8778,26.0,,Never-married,,Male,
743-74-3743,32.0,HS-grad,Never-married,Not-in-family,Female,
147-14-7147,42.0,Bachelors,Divorced,Unmarried,Female,
691-69-1691,45.0,HS-grad,Separated,Not-in-family,,>50K
079-07-9079,46.0,Some-college,Married-civ-spouse,,,>50K
335-33-5335,41.0,,Separated,Unmarried,Female,<=50K
938-93-8938,41.0,Some-college,Divorced,Unmarried,,
904-90-4904,36.0,Some-college,Divorced,Not-in-family,,>50K
825-82-5825,,Assoc-voc,Married-civ-spouse,Wife,,<=50K
326-32-6326,18.0,HS-grad,Never-married,Own-child,,
758-75-8758,43.0,,Married-civ-spouse,Husband,Male,>50K
971-97-1971,28.0,Prof-school,,Husband,,<=50K
378-37-8378,31.0,Bachelors,Never-married,,,<=50K
944-94-4944,62.0,Bachelors,Married-civ-spouse,,,<=50K
818-81-8818,47.0,,,Not-in-family,Female,<=50K
029-02-9029,18.0,Some-college,Never-married,Own-child,Female,<=50K
007-00-7007,62.0,7th-8th,Married-civ-spouse,,Male,<=50K
121-12-1121,19.0,HS-grad,Never-married,Not-in-family,,<=50K
108-10-8108,54.0,10th,Married-civ-spouse,,Male,
932-93-2932,28.0,Bachelors,,Own-child,Male,<=50K
730-73-0730,39.0,,Married-civ-spouse,,,
985-98-5985,21.0,,,,Female,<=50K
753-75-3753,44.0,HS-grad,Married-civ-spouse,,Male,>50K
272-27-2272,41.0,,,Husband,Male,
363-36-3363,,HS-grad,,Own-child,Male,>50K
610-61-0610,35.0,Assoc-acdm,Never-married,Not-in-family,Female,<=50K
040-04-0040,52.0,Some-college,Married-civ-spouse,Husband,,<=50K
101-10-1101,31.0,,Never-married,Not-in-family,,
755-75-5755,,11th,Married-civ-spouse,Husband,,<=50K
752-75-2752,33.0,,Married-civ-spouse,,,>50K
253-25-3253,48.0,,Married-civ-spouse,Husband,Male,
090-09-0090,22.0,Some-college,Never-married,,Male,
839-83-9839,45.0,,Never-married,Not-in-family,,
648-64-8648,29.0,Bachelors,Never-married,Not-in-family,,>50K
603-60-3603,48.0,Masters,Married-civ-spouse,Husband,Male,
793-79-3793,29.0,Prof-school,Married-civ-spouse,Husband,,<=50K
284-28-4284,33.0,HS-grad,Divorced,Not-in-family,Male,
002-00-2002,64.0,,,,,
997-99-7997,68.0,,,Husband,,
777-77-7777,35.0,,Married-civ-spouse,,Male,<=50K
037-03-7037,32.0,Assoc-voc,,,Male,>50K
323-32-3323,32.0,HS-grad,Never-married,Not-in-family,,
575-57-5575,29.0,7th-8th,Divorced,Not-in-family,Male,
629-62-9629,,Bachelors,Married-civ-spouse,Husband,Male,
639-63-9639,24.0,Some-college,Never-married,Own-child,Female,<=50K
845-84-5845,46.0,HS-grad,Married-civ-spouse,Husband,Male,
641-64-1641,59.0,,Married-civ-spouse,Husband,Male,<=50K
477-47-7477,42.0,HS-grad,Never-married,Not-in-family,Male,
720-72-0720,42.0,Bachelors,,Husband,Male,>50K
148-14-8148,25.0,HS-grad,Married-civ-spouse,Husband,Male,
672-67-2672,39.0,Bachelors,Married-civ-spouse,Husband,Male,
364-36-4364,49.0,,,Husband,,>50K
542-54-2542,35.0,Some-college,Married-civ-spouse,Husband,Male,>50K
080-08-0080,36.0,,Married-civ-spouse,Husband,,
568-56-8568,57.0,9th,Married-civ-spouse,Husband,Male,
933-93-3933,21.0,,Never-married,Own-child,Male,<=50K
464-46-4464,42.0,,Divorced,,,<=50K
333-33-3333,29.0,HS-grad,Never-married,,Male,<=50K
794-79-4794,,,Never-married,Not-in-family,Female,<=50K
623-62-3623,50.0,5th-6th,Married-civ-spouse,Husband,Male,
647-64-7647,18.0,,Never-married,Own-child,,
005-00-5005,,Bachelors,,Not-in-family,,<=50K
420-42-0420,41.0,Some-college,Married-civ-spouse,,Male,<=50K
668-66-8668,42.0,HS-grad,Married-civ-spouse,Husband,Male,
123-12-3123,55.0,HS-grad,Married-civ-spouse,,,>50K
012-01-2012,24.0,Bachelors,Married-civ-spouse,Husband,,
652-65-2652,,HS-grad,Married-civ-spouse,Husband,Male,
095-09-5095,48.0,,Never-married,Unmarried,Female,
355-35-5355,,Some-college,Married-civ-spouse,Husband,Male,<=50K
965-96-5965,23.0,HS-grad,Never-married,Unmarried,Female,<=50K
398-39-8398,30.0,HS-grad,Divorced,Other-relative,Male,<=50K
270-27-0270,31.0,Bachelors,,Not-in-family,Female,>50K
475-47-5475,23.0,,Never-married,Own-child,Female,
452-45-2452,35.0,,Married-civ-spouse,Husband,,
510-51-0510,45.0,HS-grad,Widowed,Unmarried,,
359-35-9359,31.0,10th,Never-married,Not-in-family,Male,
036-03-6036,32.0,Some-college,Never-married,Not-in-family,Female,<=50K
595-59-5595,45.0,Some-college,Married-civ-spouse,,,>50K
756-75-6756,78.0,HS-grad,Married-civ-spouse,,Male,
607-60-7607,27.0,Some-college,Married-civ-spouse,Husband,Male,
950-95-0950,44.0,,Married-civ-spouse,Husband,Male,
521-52-1521,49.0,Some-college,,Not-in-family,Female,<=50K
043-04-3043,55.0,Some-college,,,,<=50K
016-01-6016,34.0,,,,Male,>50K
769-76-9769,27.0,Bachelors,Never-married,,,
999-99-9999,31.0,,,,Male,<=50K
262-26-2262,,Some-college,Married-civ-spouse,Husband,,
248-24-8248,23.0,Bachelors,Never-married,,Male,<=50K
263-26-3263,,,Married-civ-spouse,Husband,Male,<=50K
242-24-2242,46.0,,Married-civ-spouse,Husband,Male,
634-63-4634,61.0,Some-college,Married-civ-spouse,,,
970-97-0970,44.0,,,Husband,Male,<=50K
438-43-8438,36.0,Masters,,Unmarried,Male,
953-95-3953,28.0,5th-6th,,Husband,,<=50K
907-90-7907,82.0,,Widowed,Unmarried,Female,<=50K
860-86-0860,24.0,,Married-civ-spouse,,Male,<=50K
708-70-8708,36.0,Masters,Married-civ-spouse,Husband,Male,
