ssn,age,education,marital-status,relationship,sex,income
919-68-6731,69.0,Some-college,Married-civ-spouse,Wife,Female,
641-73-8328,54.0,7th-8th,Never-married,,,
914-95-7001,60.0,,Married-civ-spouse,,,>50K
289-28-1326,21.0,,Never-married,Own-child,Male,<=50K
409-67-4446,40.0,HS-grad,Never-married,Not-in-family,,
719-59-4593,31.0,Some-college,,,,
254-20-7616,52.0,10th,,,Male,>50K
824-69-2873,51.0,Some-college,Married-civ-spouse,,,>50K
170-57-7395,39.0,Some-college,,Husband,,
803-96-1915,36.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
084-88-9434,32.0,HS-grad,Never-married,Not-in-family,Male,
319-56-3881,46.0,Some-college,Married-civ-spouse,Husband,Male,>50K
191-52-3341,18.0,,,Own-child,Female,<=50K
054-39-1891,32.0,Bachelors,Married-civ-spouse,Husband,,
201-65-8476,21.0,Some-college,Never-married,,,<=50K
961-48-6485,35.0,HS-grad,Never-married,Own-child,Male,
354-66-8304,70.0,,Married-civ-spouse,Husband,Male,<=50K
239-61-9164,33.0,HS-grad,,,Male,<=50K
609-64-3734,45.0,Masters,,Not-in-family,Female,<=50K
148-55-6510,36.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
293-64-2505,58.0,Some-college,Married-civ-spouse,Husband,Male,
630-98-8942,37.0,Bachelors,Never-married,Not-in-family,,
943-79-6067,46.0,9th,Separated,Not-in-family,Male,<=50K
441-76-9041,35.0,Masters,,Other-relative,Female,
131-17-3218,25.0,,Divorced,Not-in-family,Female,>50K
837-96-0687,28.0,,Divorced,,Female,<=50K
381-35-7493,37.0,HS-grad,Divorced,Unmarried,,<=50K
348-24-9385,40.0,,Married-civ-spouse,Husband,Male,
333-41-5233,56.0,,Married-civ-spouse,Husband,Male,<=50K
389-15-8476,30.0,11th,Never-married,Own-child,,
625-12-2849,,HS-grad,Widowed,Not-in-family,,<=50K
967-56-7566,29.0,Bachelors,Never-married,Own-child,Male,<=50K
646-37-5920,18.0,11th,,Own-child,,
189-15-8476,34.0,,Never-married,Not-in-family,Male,
065-84-7665,47.0,,Divorced,,Female,<=50K
027-51-8427,44.0,,Married-civ-spouse,,,<=50K
275-95-2088,,Bachelors,Married-civ-spouse,Husband,Male,>50K
930-46-6829,20.0,11th,Never-married,,Male,>50K
775-03-0711,51.0,Masters,Married-civ-spouse,Wife,,>50K
075-36-8550,50.0,,Married-civ-spouse,,,<=50K
069-10-3194,,,,Husband,,<=50K
492-65-9704,32.0,Assoc-acdm,Married-civ-spouse,Husband,,
687-19-2874,26.0,,,Own-child,Male,
945-08-5994,37.0,Bachelors,Never-married,Not-in-family,,<=50K
139-12-7763,29.0,,Never-married,,Female,>50K
382-86-2407,38.0,HS-grad,Divorced,Not-in-family,,<=50K
442-50-6142,,Prof-school,Married-civ-spouse,Husband,,
194-22-6044,31.0,Bachelors,Never-married,,Male,
208-81-4496,,12th,,,,<=50K
274-96-9287,48.0,Some-college,,Husband,,<=50K
253-31-6953,40.0,Bachelors,,Not-in-family,Male,>50K
560-87-2235,51.0,Masters,Married-civ-spouse,Husband,Male,
985-59-5822,23.0,12th,Married-civ-spouse,Husband,Male,
711-21-0072,,Bachelors,Never-married,Not-in-family,Female,<=50K
276-44-3488,38.0,11th,Married-civ-spouse,Husband,Male,>50K
726-93-4888,74.0,,,Husband,Male,
237-19-2874,46.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
210-53-4397,42.0,10th,Married-civ-spouse,Husband,Male,
985-84-1522,44.0,Masters,,Husband,Male,
798-74-0785,35.0,11th,Married-civ-spouse,Husband,,
528-43-9802,26.0,Assoc-voc,Never-married,Own-child,,<=50K
833-66-0932,57.0,HS-grad,,,Female,<=50K
326-71-9901,51.0,HS-grad,Married-civ-spouse,Husband,Male,
053-22-4815,59.0,HS-grad,Divorced,Not-in-family,Female,<=50K
761-17-9360,25.0,Some-college,Never-married,Not-in-family,,<=50K
917-04-5453,21.0,,Married-civ-spouse,Husband,Male,
206-51-1056,23.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
238-54-4225,42.0,,Never-married,,Female,<=50K
288-32-9238,45.0,,,,Female,<=50K
588-42-1375,,HS-grad,Married-civ-spouse,,Male,<=50K
729-72-9729,22.0,Some-college,Married-civ-spouse,Other-relative,Male,
672-23-5871,21.0,,,,,<=50K
903-37-8377,17.0,12th,,Own-child,,<=50K
315-66-3390,26.0,Bachelors,,,,<=50K
413-75-9213,20.0,,Never-married,Own-child,,<=50K
745-97-6657,28.0,HS-grad,Never-married,Not-in-family,Female,
778-28-6240,35.0,HS-grad,,Husband,Male,<=50K
680-92-7517,28.0,HS-grad,Married-civ-spouse,Husband,,>50K
540-54-0540,31.0,HS-grad,Never-married,Not-in-family,,
189-37-3464,54.0,HS-grad,Never-married,,Male,
963-48-2800,24.0,HS-grad,Married-civ-spouse,Husband,Male,
106-87-9606,21.0,,,Other-relative,Female,
194-10-3193,25.0,,Never-married,Not-in-family,Female,<=50K
415-20-2702,30.0,HS-grad,,Husband,,
083-72-2358,56.0,Bachelors,Never-married,Unmarried,,<=50K
906-05-0367,,,Married-civ-spouse,Husband,,<=50K
766-00-1227,21.0,HS-grad,,Not-in-family,Male,<=50K
591-49-2628,62.0,,Widowed,,,
021-99-0171,59.0,Prof-school,Never-married,Own-child,Female,<=50K
462-16-2161,51.0,,,Husband,Male,<=50K
919-93-2431,45.0,HS-grad,Divorced,Not-in-family,,<=50K
563-29-8525,18.0,11th,Never-married,Not-in-family,,
815-90-9090,,,Married-civ-spouse,Husband,Male,>50K
293-12-0392,35.0,HS-grad,Married-civ-spouse,Husband,,>50K
840-29-4839,39.0,Bachelors,,Husband,Male,
708-87-5920,41.0,Some-college,Married-civ-spouse,Husband,,<=50K
005-06-7567,26.0,HS-grad,Never-married,,,
962-49-9999,35.0,Some-college,Married-civ-spouse,Wife,,
001-25-9213,24.0,HS-grad,Never-married,Own-child,,<=50K
982-46-3143,53.0,HS-grad,Married-civ-spouse,Husband,,<=50K
065-20-2702,60.0,Some-college,Married-civ-spouse,,Male,
445-79-2382,37.0,Doctorate,Married-civ-spouse,Husband,,<=50K
961-64-0048,19.0,10th,Never-married,Own-child,,
835-84-1522,66.0,HS-grad,,Wife,Female,<=50K
139-37-3464,23.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
758-32-3095,38.0,,Divorced,Unmarried,Female,<=50K
287-37-7149,26.0,Bachelors,,Husband,,
383-26-1670,47.0,Assoc-voc,,Husband,Male,
335-84-1523,33.0,,Married-civ-spouse,Husband,Male,
580-83-5380,25.0,,Married-civ-spouse,Husband,,
691-36-9778,44.0,,Married-civ-spouse,Husband,Male,
199-72-3587,35.0,Some-college,Married-civ-spouse,Wife,Female,
970-23-9556,17.0,,,Own-child,,
197-26-6584,,Some-college,,Husband,Male,<=50K
610-16-5847,,,,,Male,<=50K
283-69-1645,43.0,Some-college,Married-civ-spouse,Husband,Male,
734-85-8721,41.0,HS-grad,Married-civ-spouse,Wife,Female,<=50K
810-47-2972,,HS-grad,,Not-in-family,,>50K
800-49-1399,48.0,Some-college,Divorced,Not-in-family,,
870-14-7419,40.0,10th,Married-civ-spouse,Husband,,<=50K
941-73-8328,22.0,Some-college,Never-married,Not-in-family,,
784-79-7296,42.0,,Married-civ-spouse,Wife,,
527-88-6977,21.0,,Never-married,,Male,
745-36-2407,,Some-college,Widowed,Unmarried,Female,
151-84-2751,27.0,Some-college,,,Male,>50K
490-75-5527,36.0,,Never-married,,Male,>50K
478-68-5503,,HS-grad,Never-married,Own-child,Female,<=50K
727-39-5576,51.0,HS-grad,,Not-in-family,Female,<=50K
928-93-1203,59.0,Bachelors,Married-civ-spouse,Husband,,
475-73-7100,32.0,,Married-civ-spouse,,Female,
340-29-4839,18.0,11th,,,,<=50K
009-55-1597,21.0,Some-college,Married-spouse-absent,Not-in-family,Female,
178-47-0515,31.0,,,Other-relative,Female,
303-83-9066,28.0,,Separated,Not-in-family,Female,
016-83-0466,29.0,Some-college,Married-civ-spouse,Wife,,
561-45-5773,35.0,,Never-married,Not-in-family,Male,<=50K
194-59-4594,40.0,Some-college,,Own-child,Male,<=50K
812-80-7124,47.0,11th,Married-civ-spouse,,Male,<=50K
636-97-7886,51.0,Some-college,Married-civ-spouse,Wife,,>50K
849-84-6436,17.0,Some-college,Never-married,Own-child,,<=50K
444-41-0318,27.0,HS-grad,Married-civ-spouse,Husband,Male,
103-25-5528,26.0,Bachelors,Never-married,Own-child,Female,
835-35-0122,41.0,Bachelors,Widowed,Not-in-family,Female,
077-05-7739,27.0,,Never-married,Own-child,Male,<=50K
427-18-0589,58.0,HS-grad,,Not-in-family,Male,
517-75-1842,29.0,,Never-married,Not-in-family,Male,<=50K
867-29-1153,,10th,Divorced,Unmarried,,<=50K
629-26-9041,59.0,Bachelors,Divorced,,,<=50K
204-54-5454,22.0,Bachelors,,Not-in-family,Male,<=50K
131-01-9655,32.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
251-25-9213,34.0,,,Unmarried,Female,
000-64-4963,34.0,HS-grad,Divorced,Unmarried,,
482-40-1719,24.0,HS-grad,Never-married,Own-child,Female,
950-52-2112,26.0,HS-grad,Divorced,Not-in-family,,
116-61-5478,73.0,,Divorced,Not-in-family,,<=50K
425-73-7100,31.0,,Widowed,Not-in-family,,<=50K
393-55-0368,37.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
146-34-5208,24.0,Bachelors,Never-married,Own-child,Male,<=50K
290-72-4815,53.0,Masters,Never-married,Not-in-family,,<=50K
759-24-4470,34.0,Some-college,,Husband,Male,>50K
485-16-5847,17.0,,,Own-child,Male,
860-25-7984,31.0,,Never-married,Other-relative,Male,<=50K
456-54-1768,36.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
206-08-1080,,,Married-civ-spouse,,Female,
774-84-6436,40.0,,Divorced,Not-in-family,,
839-40-4176,22.0,,Separated,Not-in-family,Female,
583-29-2382,47.0,,Married-civ-spouse,Husband,Male,
672-69-6559,22.0,Preschool,,Not-in-family,Male,
906-48-0343,41.0,9th,Married-civ-spouse,Husband,,<=50K
127-18-0589,29.0,Masters,Married-civ-spouse,Husband,,<=50K
261-21-0073,54.0,Bachelors,,,,<=50K
582-00-2456,42.0,HS-grad,Divorced,Unmarried,Female,<=50K
771-92-8746,54.0,Prof-school,Married-civ-spouse,Husband,Male,<=50K
893-82-6780,,11th,Never-married,Not-in-family,Male,
510-47-2972,34.0,Some-college,Never-married,Not-in-family,Male,
794-31-8181,18.0,HS-grad,,Own-child,,<=50K
515-90-9090,18.0,,Never-married,Own-child,Male,<=50K
277-30-3439,39.0,Masters,Married-civ-spouse,,Female,>50K
664-49-6313,49.0,,Never-married,,Male,<=50K
953-00-9827,,10th,Never-married,Own-child,,<=50K
440-57-1252,41.0,Some-college,Married-civ-spouse,Husband,Male,>50K
862-22-3586,38.0,,,Husband,,
809-73-5871,25.0,Bachelors,Never-married,,Male,
447-20-5159,30.0,Bachelors,Separated,Not-in-family,Male,>50K
202-79-4840,24.0,HS-grad,,Unmarried,,<=50K
613-78-9925,25.0,HS-grad,Never-married,Not-in-family,Male,<=50K
698-58-7222,36.0,Bachelors,Never-married,,,>50K
520-51-5969,28.0,Bachelors,Married-civ-spouse,Husband,Male,
193-85-7493,,HS-grad,Married-civ-spouse,,,
122-85-0122,24.0,,Never-married,Own-child,,<=50K
945-51-5969,50.0,,Separated,Unmarried,,<=50K
025-18-4275,28.0,Prof-school,Married-civ-spouse,Husband,Male,>50K
356-97-1744,,,,Own-child,,
312-92-9975,50.0,Bachelors,Married-civ-spouse,Husband,,
073-61-7936,36.0,Doctorate,Married-civ-spouse,Husband,Male,<=50K
540-78-6240,22.0,Some-college,,,Female,<=50K
172-08-2309,57.0,Some-college,Married-civ-spouse,Husband,,>50K
972-63-5134,42.0,Assoc-voc,Married-civ-spouse,Husband,,
804-17-6903,27.0,Assoc-acdm,Never-married,Own-child,Male,<=50K
542-50-6141,54.0,,Married-civ-spouse,Husband,,<=50K
583-35-3807,18.0,Some-college,Never-married,Own-child,,<=50K
006-66-4619,19.0,11th,Married-civ-spouse,Own-child,Male,<=50K
022-38-9434,42.0,Some-college,,Husband,,<=50K
876-78-1325,,,Married-civ-spouse,Husband,,
408-07-7395,22.0,7th-8th,Married-civ-spouse,Husband,,
799-07-8623,34.0,Masters,Never-married,Not-in-family,,<=50K
547-23-5871,21.0,Bachelors,Never-married,Own-child,,
661-39-4348,18.0,,,Own-child,Female,
162-71-4987,,,Never-married,,,<=50K
881-84-8893,58.0,Bachelors,Married-civ-spouse,Husband,Male,
388-63-6363,48.0,,,,Female,<=50K
869-19-5330,21.0,,Never-married,Not-in-family,Male,<=50K
908-01-5969,30.0,Some-college,,Husband,Male,
104-66-8304,21.0,,,Other-relative,,
631-51-1055,40.0,,Never-married,,Female,
569-53-3168,38.0,Bachelors,,Not-in-family,,
953-47-0515,31.0,Prof-school,Married-civ-spouse,Husband,Male,
649-23-2186,49.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
266-49-2628,31.0,11th,,Not-in-family,Female,<=50K
472-11-3021,28.0,HS-grad,Never-married,Not-in-family,Female,<=50K
602-88-6977,36.0,Assoc-voc,,Husband,Male,<=50K
243-58-1080,52.0,,Married-civ-spouse,Husband,,
674-81-5724,45.0,,Divorced,Unmarried,Female,<=50K
051-07-4938,41.0,11th,,Not-in-family,,
303-13-2677,,Masters,Married-civ-spouse,Husband,,
920-57-7394,,7th-8th,Married-civ-spouse,Husband,Male,
465-66-3390,48.0,,Married-civ-spouse,Husband,Male,<=50K
581-84-8893,60.0,HS-grad,Married-civ-spouse,,Male,
518-36-6092,,,,Unmarried,,
470-54-6682,42.0,,Married-civ-spouse,Wife,Female,<=50K
216-46-1916,17.0,11th,,Other-relative,Female,>50K
073-67-9361,42.0,,,,Male,
627-42-6289,17.0,Some-college,Never-married,Own-child,Female,<=50K
888-91-2775,32.0,,Never-married,Own-child,Male,<=50K
182-09-4594,64.0,HS-grad,,Husband,Male,>50K
582-67-8132,20.0,9th,Married-spouse-absent,Not-in-family,Male,
700-85-9950,52.0,,Divorced,Unmarried,Female,
624-26-2898,47.0,,,Not-in-family,Female,
453-04-0540,32.0,HS-grad,Married-civ-spouse,,Female,>50K
089-74-2014,,10th,Never-married,Not-in-family,,
194-90-1719,21.0,HS-grad,Married-civ-spouse,,,<=50K
749-99-9999,33.0,Some-college,Married-civ-spouse,Wife,,
615-04-9139,24.0,,,Husband,Male,
622-91-1547,33.0,,,Other-relative,Female,<=50K
568-79-6068,64.0,Masters,Divorced,Not-in-family,,<=50K
353-65-4790,,Some-college,Married-civ-spouse,,Male,<=50K
798-83-2923,51.0,7th-8th,Divorced,,,<=50K
501-47-4200,26.0,10th,,,Female,
950-30-7124,55.0,Doctorate,Married-civ-spouse,Husband,,
239-43-4889,30.0,,Divorced,Unmarried,Male,
184-73-5872,,,Divorced,Other-relative,Male,<=50K
242-59-8279,,Bachelors,Never-married,Not-in-family,,
368-79-6068,41.0,,Married-civ-spouse,Husband,Male,
827-67-1989,60.0,HS-grad,Married-civ-spouse,Husband,,>50K
746-00-7370,27.0,,Separated,,Male,
142-16-8304,34.0,11th,Divorced,Not-in-family,Male,<=50K
584-39-8033,50.0,HS-grad,,Husband,Male,<=50K
815-07-9851,29.0,HS-grad,Never-married,Unmarried,Male,
503-65-4790,37.0,10th,Married-civ-spouse,Husband,,
931-87-9605,34.0,HS-grad,Never-married,,Male,
504-05-4053,55.0,10th,,Husband,Male,
165-50-9827,23.0,,,,,<=50K
112-34-6437,25.0,HS-grad,,Not-in-family,,<=50K
932-70-8844,37.0,HS-grad,,Not-in-family,Female,<=50K
286-14-8648,45.0,,,Husband,Male,<=50K
067-19-9017,78.0,7th-8th,Married-civ-spouse,Husband,Male,
348-46-4373,52.0,Doctorate,Never-married,Not-in-family,,
027-67-1990,,HS-grad,Divorced,,,>50K
234-70-5159,49.0,Bachelors,Married-civ-spouse,Wife,,<=50K
058-78-3783,21.0,Some-college,Divorced,,,<=50K
149-69-2874,29.0,,,,Male,>50K
963-94-3487,43.0,Prof-school,,Husband,,
870-76-1669,28.0,,Married-civ-spouse,Husband,Male,<=50K
419-25-6756,63.0,HS-grad,Divorced,,Female,
097-32-8009,71.0,Doctorate,,Not-in-family,,
733-04-6682,36.0,Some-college,Married-civ-spouse,Husband,Male,
342-38-3292,44.0,10th,Married-civ-spouse,Husband,,<=50K
975-03-0711,60.0,7th-8th,Divorced,Unmarried,Female,<=50K
855-12-8991,71.0,Prof-school,,Other-relative,,<=50K
619-25-6756,,Assoc-voc,Married-civ-spouse,Husband,,>50K
716-15-4790,19.0,Some-college,,Own-child,Male,<=50K
